date,temperature
2024-01-01,46
2024-01-02,47
2024-01-03,46
2024-01-04,43
2024-01-05,42
2024-01-06,43
2024-01-07,45
2024-01-08,48
2024-01-09,49
2024-01-10,48
2024-01-11,45
2024-01-12,44
2024-01-13,45
2024-01-14,47
2024-01-15,50
2024-01-16,51
2024-01-17,50
2024-01-18,47
2024-01-19,46
2024-01-20,47
2024-01-21,49
2024-01-22,52
2024-01-23,53
2024-01-24,52
2024-01-25,49
2024-01-26,48
2024-01-27,49
2024-01-28,51
2024-01-29,54
2024-01-30,55
2024-01-31,54
2024-02-01,51
2024-02-02,50
2024-02-03,51
2024-02-04,53
2024-02-05,56
2024-02-06,57
2024-02-07,56
2024-02-08,53
2024-02-09,52
2024-02-10,53
2024-02-11,55
2024-02-12,58
2024-02-13,59
2024-02-14,58
2024-02-15,55
2024-02-16,54
2024-02-17,55
2024-02-18,57
2024-02-19,60
2024-02-20,61
2024-02-21,60
2024-02-22,57
2024-02-23,56
2024-02-24,57
2024-02-25,59
2024-02-26,62
2024-02-27,63
2024-02-28,61
2024-02-29,59
2024-03-01,58
2024-03-02,59
2024-03-03,61
2024-03-04,64
2024-03-05,65
2024-03-06,63
2024-03-07,61
2024-03-08,59
2024-03-09,60
2024-03-10,63
2024-03-11,65
2024-03-12,66
2024-03-13,65
2024-03-14,62
2024-03-15,61
2024-03-16,62
2024-03-17,64
2024-03-18,67
2024-03-19,68
2024-03-20,66
2024-03-21,64
2024-03-22,62
2024-03-23,63
2024-03-24,66
2024-03-25,68
2024-03-26,69
2024-03-27,67
2024-03-28,65
2024-03-29,64
2024-03-30,64
2024-03-31,67
2024-04-01,69
2024-04-02,70
2024-04-03,68
2024-04-04,66
2024-04-05,64
2024-04-06,65
2024-04-07,68
2024-04-08,70
2024-04-09,71
2024-04-10,69
2024-04-11,67
2024-04-12,65
2024-04-13,66
2024-04-14,68
2024-04-15,71
2024-04-16,71
2024-04-17,70
2024-04-18,67
2024-04-19,66
2024-04-20,66
2024-04-21,69
2024-04-22,71
2024-04-23,72
2024-04-24,70
2024-04-25,68
2024-04-26,66
2024-04-27,67
2024-04-28,69
2024-04-29,71
2024-04-30,72
